,ticker,score,gm_ticker
0,AAPL,0.22775454545454543,APC
1,ACB,-0.5927,21P1
2,AFRM,0.1779,NA
3,AMC,-0.0772,AMC
4,AMD,0.09186000000000001,AMD
5,AMZN,0.41600000000000004,AMZ
6,APRN,0.296,13WA
7,ARKW,0.0,NA
8,ATVI,-0.3818,AIY
9,BA,0.20276,BCO
10,BIDU,0.4118,B1C
11,BIIB,-0.4588,IDP
12,BLNK,0.0,NA
13,BMY,0.0,BRM
14,BP,0.0,BPE5
15,BR,-0.0516,HLG
16,BYD,-0.5719,BO5
17,CA:CURA,0.296,NA
18,CA:FFH,0.0,NA
19,CA:TER,0.0,NA
20,CA:TRUL,0.0,NA
21,CAH,0.0,CLH
22,CH:NESN,0.2023,NA
23,CL00,-0.25229999999999997,NA
24,CMCSA,0.10115,CTP2
25,CN:000938,0.25,NA
26,COMP,0.125,PRHA
27,CRLBF,-0.3182,NA
28,CRWD,0.0,45C
29,CSCO,0.25,CIS
30,CURLF,0.148,NA
31,DIS,-0.07006666666666668,WDP
32,DXY,0.1681,TT1DXY
33,EXFY,0.7351,NA
34,F,0.1531,2FO
35,FAF,0.4215,HR9FAF
36,FB,-0.5267,FB2A
37,FFIE,0.0,NA
38,GE,0.2992,GCP
39,GGPI,0.0,NA
40,GM,0.0,8GM
41,GOOGL,0.0,ABEA
42,GRWG,0.296,NA
43,GS,0.0,GOS
44,GSK,0.2853,GS7
45,GTBIF,0.0,NA
46,HD,0.5423,HDI
47,HGZ21,0.2023,NA
48,HK:941,0.34,NA
49,HSY,0.0,HSY
50,HYG,0.0,HR4HYG
51,JNJ,0.0,JNJ
52,JPM,-0.4019,CMC
53,KBH,-0.1531,KBH
54,LCID,0.0,NA
55,LOW,0.765,LWE
56,LTHM,0.2023,8LV
57,LVLU,0.296,NA
58,MARA,0.0,MARA
59,MGM,-0.2732,MGG
60,MQ,0.0,S0QA
61,MRK,0.296,MRK
62,MRNA,-0.6361,0QF
63,NFLX,0.31693333333333334,NFC
64,NVDA,0.13396666666666665,NVD
65,OCGN,0.0,NA
66,PAVE,-0.10573333333333335,94VE
67,PFE,0.31900000000000006,PFE
68,PFGC,0.6808,NA
69,POSH,0.431,NA
70,PSFE,-0.6597,PSFE
71,RBLX,0.0,NA
72,RDFN,0.1779,R6G
73,REGN,0.296,RGO
74,RIDE,-0.3182,NA
75,RKLB,0.2023,NA
76,RRD,0.3612,DLLN
77,SEV,0.1027,7M0A
78,SHOP,-0.2732,307
79,SNAP,0.34,1SI
80,SPCE,0.0,NA
81,SPLK,-0.6249,S0U
82,SPOT,0.34,639
83,SRAD,0.0,NA
84,STZ,0.1531,SPYZ
85,TGT,0.4019,TGT
86,THCX,0.5622,NA
87,TMUS,-0.0516,TM5
88,TSLA,-0.237025,TL0
89,TTWO,-0.4019,TKE
90,TWTR,-0.5719,TWR
91,UK:TTST,0.4404,NA
92,V,0.5719,3V64
93,VFF,0.0,VFF
94,VIAC,0.4215,0VVB
95,VIR,0.0,NA
96,VTRS,0.0,VIA
97,VZ,0.4798,BAC
98,WDAY,0.7003,W7D
99,WEAV,0.0,NA
100,WMG,0.1531,3WM
101,WMT,0.2393,WMT
102,YM00,0.7096,NA
